ref,name,city
114,Hałcnowska Beczałka,Bielsko Biała
154,Katowicka Skrzyżowanie,Bielsko Biała
153,Katowicka Polmozbyt,Bielsko Biała
344,Warszawska Tesco,Bielsko Biała
338,Warszawska Metalplast,Bielsko Biała

221,Mazańcowicka Skrzyżowanie,Bielsko Biała
218,Mazańcowicka Akademicka,Bielsko Biała

2221,Mazańcowice Osiedle,Bielsko Biała
217,Mazańcowicka Akademicka,Bielsko Biała



190,Księdza Brzóski Kościół,Bielsko Biała
188,Księdza Brzóski Piotrkowska,Bielsko Biała
191,Lipnik Wielkopolska,Bielsko Biała
395,Księdza Brzóski Senatorska,Bielsko Biała
397,Księdza Brzóski Waszkowskiego,Bielsko Biała
399,Księdza Brzóski Wspólna,Bielsko Biała
393,Księdza Brzóski Piekarnia,Bielsko Biała

394,Księdza Brzóski Piekarnia,Bielsko Biała
400,Księdza Brzóski Wspólna,Bielsko Biała
398,Księdza Brzóski Waszkowskiego,Bielsko Biała
396,Księdza Brzóski Senatorska,Bielsko Biała
192,Lipnik Wielkopolska,Bielsko Biała
346,Wielkopolska,Bielsko Biała
187,Księdza Brzóski Lubelska,Bielsko Biała

174,Konwojowa Tacho,Bielsko Biała

2492,Czechowice-Dziedzice Proseat,Bielsko Biała
175,Konwojowa Tacho,Bielsko Biała

405,Karbowa Hala Widowiskowo Sportowa,Bielsko Biała
403,Karbowa Wyciąg,Bielsko Biała
424,Kolista Falista,Bielsko Biała
414,Kolista Działowa,Bielsko Biała
416,Kolista Niwna,Bielsko Biała
418,Kolista Osiedle Karpackie,Bielsko Biała

419,Kolista Osiedle Karpackie,Bielsko Biała
417,Kolista Niwna,Bielsko Biała
415,Kolista Działowa,Bielsko Biała
425,Kolista Falista,Bielsko Biała
402,Karbowa Wyciąg,Bielsko Biała



197,Langiewicza Basen,Bielsko Biała
212,Łagodna Osiedle,Bielsko Biała
260,Plac Mickiewicza Łącznik,Bielsko Biała

211,Łagodna Osiedle,Bielsko Biała

151,Katowicka Królewska,Bielsko Biała
149,Katowicka Centrostal,Bielsko Biała
2352,Czechowice-Dz. Krzywa Elektrociepłownia,Czechowice Dziedzice
2354,Czechowice-Dziedzice Junacka Kamionka,Czechowice Dziedzice
2356,Czechowice-Dziedzice Południowe,Czechowice Dziedzice
2358,Czechowice-Dziedzice Legionów Gigant,Czechowice Dziedzice
2360,Czechowice-Dziedzice Legionów Gliksmanka,Czechowice Dziedzice
2362,Czechowice-Dziedzice Legionów MOSiR,Czechowice Dziedzice
2364,Czechowice-Dziedzice Niepodległości MDK,Czechowice Dziedzice
2366,Czechowice-Dziedzice Dworzec PKP,Czechowice Dziedzice
2368,Czechowice-Dziedzice Traugutta ZSTiL,Czechowice Dziedzice
2370,Czechowice-Dz. Wyspiańskiego Os. Północ,Czechowice Dziedzice
2372,Czechowice-Dz. Węglowa Kościół,Czechowice Dziedzice
2374,Czechowice-Dziedzice Górnicza,Czechowice Dziedzice

2375,Czechowice-Dziedzice Silesia,Czechowice Dziedzice
2373,Czechowice-Dz. Węglowa Kościół,Czechowice Dziedzice
2371,Czechowice-Dz. Wyspiańskiego Os. Północ,Czechowice Dziedzice
2369,Czechowice-Dziedzice Traugutta ZSTiL,Czechowice Dziedzice
2367,Czechowice-Dziedzice Dworzec PKP,Czechowice Dziedzice
2365,Czechowice-Dziedzice Niepodległości MDK,Czechowice Dziedzice
2363,Czechowice-Dziedzice Legionów MOSiR,Czechowice Dziedzice
2361,Czechowice-Dziedzice Legionów Gliksmanka,Czechowice Dziedzice
2359,Czechowice-Dziedzice Legionów Gigant,Czechowice Dziedzice
2357,Czechowice-Dziedzice Południowe,Czechowice Dziedzice
2355,Czechowice-Dziedzice Junacka Kamionka,Czechowice Dziedzice
2353,Czechowice-Dz. Krzywa Elektrociepłownia,Czechowice Dziedzice
148,Katowicka Centrostal,Bielsko Biała
150,Katowicka Królewska,Bielsko Biała



230,Międzyrzecka Strażacka,Bielsko Biała
232,Międzyrzecka Wiadukt,Bielsko Biała
2456,Międzyrzecze Górne Granica,Bielsko Biała
2463,Międzyrzecze Górne Kopiec,Bielsko Biała
2476,Międzyrzecze Górne Ośrodek Zdrowia,Bielsko Biała
2478,Międzyrzecze Górne OSP,Bielsko Biała
